subject,description
Your flexible subscription is not clear,"Your flexible subscription is not clear. I pay for 250 hours/year or 500 hours/year, I already have 10 subscriptions with different emails one for each participant in my course, but how can I use the contract for 1 year, you always remove at least 25 or 50 hours every month, so at most it is a 10 month contract?"
Expired plan,"My plan seems to be expired even though it should be active for around 2 more months, can you please look into it? Is the VM also deleted now? Because I would need it :("
I paid the outstanding bill,"Hi,

I have paid the outstanding bill.

Can you please reinstate my account ? 16 Gb Ram, 4 CPU , etc"
New Subscription User Marchini Irene,"Good morning,

can you please create a new subscription for the user Marchini Irene?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
New Subscription User Elena Bianchini,"Good morning,

 

can you resume the account of the user Elena Bianchini, elena.bianchini@ovbsales.it?

 

Cordiali saluti,

Matilde Gorgone

 

OVB Consulenza Patrimoniale srl

Stradone San Fermo, 19 - 37121 Verona


Tel: +39 045 8037070  

Mobil: +39 351 459 8368

 

Email:matilde.gorgone@ovb.it  | Web: www.ovb.it (http://www.ovb.it/)


            

 

Le informazioni contenute nella presente e-mail e i relativi allegati sono riservati esclusivamente alle persone o alla Società sopraindicati.

La diffusione, comunicazione e/o copia del contenuto della e-mail e dei documenti trasmessi da parte di qualsiasi soggetto diverso dal destinatario è vietata ai sensi dell'art. 616 c.p. e del Regolamento UE 2016/679.

Se avete ricevuto questo messaggio per errore, vi preghiamo di distruggerlo e di informarci immediatamente per telefono ai numeri sopra indicati o inviando un messaggio al presente indirizzo e-mail."
80% quota threshold exceeded for the folder C:\Users\AOFU2431417\ on server AOF0295!,"Quota threshold 80% exceeded for folder C:\Users\AOFU2431417\ on server AOF0295. The quota limit is 2048,00 MB, and 1638,41 MB currently is in use (80% of limit).
Source of notification: C:\Users\AOFU2431417\AppData\Local\Temp\45\99D9.tmp.
Owner of the source of the notification AOF\AOFU2431417."
I CANT SEEM TO CHANGE THE IP ADDRESS,"NO MATTER IF I RESET  RESTORE TO FACTORY DEFAULT SETTINGS IP PUBLIC IS ALWAYS THE SAME I WANT TO BE ABLE TO CHANGE IT



IF IF ITS NOT POSSIBLE TO CHANGE IT I WOULD LIKE TO GET A REFUND PLEASE"
90% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 90% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1848,19 MB currently is in use (90% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Temp\44\Pohoda01.mdb.
Owner of the source of the notification AOF\renata.hervertova."
Inconsistency between 1-year contract and minimum quantity consumed,"Hello support,
I certainly don't want to argue about your right to set a minimum consumption, I just want to point out that the minimum consumption you have set is ""incompatible"" with what you define as a subscription for one year, since it can be a maximum of 10 months!"
power button not working ,"power button not working,can't switch on"
URGENT -  I paid the outstanding bill,"Hi,

I have paid the outstanding bill.  Can you please reinstate my subscription .

I can t see it in my account . cornel08biz@gmail.com



Regards,

Cornel"
My domain is no longer reachable!!!,"I have more than 10 virtual machines with you, all with accounts xxxxxx@ioss-ortho.com, I do not open this link https://www.ortho-biomechanics.com, which is simultaneously opened by the host machine which is my work site necessary for my courses. I tried and the site is not reachable even from your other apponfly machines, what happened?"
80% quota threshold exceeded for the folder C:\Users\AOFU2431417\ on server AOF0295!,"Quota threshold 80% exceeded for folder C:\Users\AOFU2431417\ on server AOF0295. The quota limit is 2048,00 MB, and 1638,40 MB currently is in use (80% of limit).
Source of notification: C:\Users\AOFU2431417\Desktop\ipodnik_migrace_glall\Pohoda\INSTALLATION\Hardware\CSServis24\mp_wss_p11.dll.
Owner of the source of the notification AOF\AOFU2431417."
90% quota threshold exceeded for the folder C:\Users\AOFU2431417\ on server AOF0295!,"Quota threshold 90% exceeded for folder C:\Users\AOFU2431417\ on server AOF0295. The quota limit is 2048,00 MB, and 1846,02 MB currently is in use (90% of limit).
Source of notification: C:\Users\AOFU2431417\Desktop\ipodnik_migrace_glall\Pamica\DATA\Data\Ciselniky.mdb.
Owner of the source of the notification AOF\AOFU2431417."
100% quota threshold exceeded for the folder C:\Users\AOFU2431417\ on server AOF0295!,"Quota threshold 100% exceeded for folder C:\Users\AOFU2431417\ on server AOF0295. The quota limit is 2048,00 MB, and 2041,38 MB currently is in use (99% of limit).
Source of notification: C:\Users\AOFU2431417\Desktop\ipodnik_migrace_glall\Pamica\DATA\Data\Zálohy\Před převodem 240111 - 25930435.zip.
Owner of the source of the notification [Source File Owner]."
Please refund my money,"Hi ,

I have paid for the monthly service again. Can you please refund the money that I paid yesterday ?

I don't need the service twice .



Thank you,

Cornel"
windows 11,"Hi

Looking for a win 11 VPS. Do you have that ?
Currently using autodesk Fusion on PC with win 10, but from new year, they only supporting win 11, and my PC can not upgrade to win 11, so looking for an online option."
90% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 90% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1843,26 MB currently is in use (90% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Microsoft\Windows\INetCache\IE\Q0G5D4YA\Pohoda_14000[1].exe.
Owner of the source of the notification AOF\renata.hervertova."
100% quota threshold exceeded for the folder C:\Users\renata.hervertova\ on server AOF0312!,"Quota threshold 100% exceeded for folder C:\Users\renata.hervertova\ on server AOF0312. The quota limit is 2048,00 MB, and 1777,38 MB currently is in use (86% of limit).
Source of notification: C:\Users\renata.hervertova\AppData\Local\Microsoft\Windows\INetCache\IE\Q0G5D4YA\Pohoda_14000[1].exe.
Owner of the source of the notification AOF\renata.hervertova."
windaws 4, ![](https://apponfly6713.zendesk.com/attachments/token/GDYOpeoJvkc38ZVhRGFlbrCFg/?name=brave_screenshot_www.youtube.com.png)
1,My trials are busy.
"Urgent: VPS Stuck in ""Starting"" Mode - Account: mjdsafishahi@gmail.com","Dear AppOnFly Support Team,

I am writing to report a critical issue with my Windows VPS (1CPU, 2GB RAM, 50GB SSD). For several hours, the server has been stuck in the ""Starting"" mode and will not proceed to a running state, making it completely inaccessible.

As you can see from the screenshot I've attached (and my account's dashboard), my usage timer is currently at 61 hours, which indicates how long this issue has been ongoing while my paid time is being consumed.

This is the second time I have encountered this exact problem. During the previous occurrence, I lost approximately 8 hours of service time before the issue was resolved. This recurring problem is significantly impacting my work and my confidence in the service.

I kindly request that you investigate this issue urgently and get my VPS running again. Furthermore, considering this is a repeated issue and the significant amount of time lost (both in this instance and the previous one), I would like to request a credit to my account for the time the VPS has been unusable.

Thank you for your prompt attention to this matter.

Sincerely,

Majid
mjdsafishahi@gmail.com"
All,My trials are busy
"backspace/delete issue - acts as if was pressed longer, although was pressed just once shortly","Hi

I connect to your VPS on my android tablet. I only have this issue when I connect to your service. When I hold just for a second backspace/delete button, it continues to act as if it was held down all the time thus deleting more than just one sign - until I press ‘space’ or another button to stop it.

I understand you might not know the answer for this one and you might not be responsible for this - but have u maybe heard or know of such an issue and do you know how I could fix that maybe?

Thanks in advance for your answer.

All the best"
All,Trials are busy
100% quota threshold exceeded for the folder C:\Users\AOFU2431417\ on server AOF0295!,"Quota threshold 100% exceeded for folder C:\Users\AOFU2431417\ on server AOF0295. The quota limit is 2048,00 MB, and 2045,17 MB currently is in use (99% of limit).
Source of notification: C:\Users\AOFU2431417\AppData\Local\Temp\45\518C.tmp.
Owner of the source of the notification AOF\AOFU2431417."
[No content],[No content]
Trial limit for your IP address has been reached,please this probllem solved
sir my app on fly is not working. please solve this problem.,sir my app on fly is not working. please solve this problem.
"Buy  Windows VPS - 1CPU, 2GB RAM, 50GB SSD","Dear AppOnFly Support,

I’m trying to subscribe to the Windows VPS - 1CPU, 2GB RAM, 50GB SSD plan (flexible), but I’m facing an issue. When I click the Subscribe button, the page just keeps loading without any progress or confirmation.

I’ve tried refreshing the page and using different browsers, but the issue still persists. Could you please assist me in completing the subscription?

Looking forward to your support.

![](https://apponfly6713.zendesk.com/attachments/token/3bMTICyXtHZO6Z0caB4dUWFZh/?name=image.png)"
Ram usage,"I have 16 gb ram, but when I try to unzip some rar file that requires more than 6gb ram to extract, the winrar or 7zip cant do the work because it identified that my system has low ram like what I see in the task manager 2gb or 1gb"
i dont have any login infos for my vps,hi i dont have my vps infos like ip and … to login with remote desktop connection with pc
cant access free trial,"when i press join free trial it says this An internal error has occurred within the Guacamole server, and the connection has been terminated. If the problem persists, please notify your system administrator, or check your system logs.

 pls help"
